"","Calu3_mock3","Calu3_mock2","Calu3_mock1","Calu3_SARSCoV2_3","Calu3_SARSCoV2_2","Calu3_SARSCoV2_1","SRR1942929","SRR1942934","SRR1942956","SRR1942957","SRR1942960","SRR1942961","SRR1942989","SRR1942990","cluster","gene_type"
"MAD1L1",0.981738889972245,2.0168194161582,1.48215316468375,0.691661243349254,0.163779184377981,0.63023437145075,-0.334341123707134,-0.898342652125025,-1.0631367662981,-1.02024873236837,-0.746147639674409,-0.576720738012552,-0.73103752272443,-0.596411095082153,10,"Human"
"LASP1",0.955782590725019,1.03230772887764,1.16975866310619,0.527469314689974,0.436940561294477,0.687310367708556,0.0704782653249508,-0.000693115189802422,-0.47229446761013,-0.52396276261746,0.0676588353550599,0.0949978977807266,-2.09607986489274,-1.94967401455247,4,"Human"
"TMEM176A",0.699518705648483,0.928677345446033,1.30423177704885,1.02646674944797,1.29500192091656,0.937140791145843,-0.693450306969516,-0.847356339491339,-1.30825929279477,0.170745612133997,-0.939135283879735,-0.584214053370631,-0.68110833248698,-1.30825929279477,5,"Human"
"KLHL13",1.2096084022814,1.47154662091201,1.82935498429865,-1.11517678889393,1.01469725794178,0.384555853497753,-0.680137973299232,-0.187084552372515,-0.673265611478734,-1.07460981530576,-0.367147454181056,-0.604935104139347,-0.970053920327159,-0.237351898933862,4,"Human"
"ICA1",0.439408267361004,0.754165700124088,0.0591948909128675,1.401286171199,1.62108093693794,1.02539337204784,-0.528117005309191,-0.37695448864476,-1.63742144047349,-1.72662882539704,-0.547124802474279,-0.453851706526004,-0.0507419536500076,0.0203108838920557,5,"Human"
"DBNDD1",0.869815407958286,1.5545256804612,1.4366837566461,0.468508176540284,0.189245443804524,0.697584742321627,-0.114637250887929,-0.535366512783231,-0.375345412198767,-0.186196234142329,-0.243012452711414,-0.178533324464221,-1.92337822248196,-1.65989379806217,8,"Human"
"CASP10",0.0430317643349389,-0.0499426273315897,0.0982269819195539,1.19990556952191,1.46279740683622,1.42070090906687,-0.622269607947907,-0.500373806022371,0.616306079045969,0.667569933920833,-0.527505092702626,-0.538455976596489,-1.70700191474586,-1.56298961929943,5,"Human"
"CFLAR",-0.180019880688491,-0.122436707034548,-0.0569562274620531,1.83803242448417,1.73644561488089,1.71410820391482,-0.82082877440437,-0.765316902062172,-0.704062126171535,-0.61278661489425,-0.850144538082784,-0.840564405451842,-0.141855570584542,-0.193614496443306,7,"Human"
"TFPI",-0.770529933373892,-2.04976685758676,-1.75931319616811,0.0867398855274912,0.392765894860202,-0.354837490984347,0.86129314899595,1.26937360419074,0.49026047381617,0.519325386678967,0.917301155093182,0.974784118160634,-0.27585408008923,-0.30154210912101,6,"Human"
"RBM5",-1.23047421812557,-1.02373433293355,-1.06819138737121,-0.48304019067683,-0.54500048219471,-0.514777616600752,-0.254020838372187,-0.111359405770245,1.45415393107812,1.58527952828912,-0.252324682292517,-0.263455728395038,1.34784875525756,1.3590966681078,2,"Human"
"MTMR7",-1.25547393031434,-1.25547393031434,-1.25547393031434,-1.25547393031434,-0.763262289544409,-0.74744615795534,0.704257217544106,0.891715013332725,0.6612960872831,1.07315741048898,0.780485320145293,0.583882607674557,1.05106529031904,0.786745221969314,3,"Human"
"SLC7A2",-1.29832040427096,-1.64685037659014,-0.873826635968563,0.0904665125776796,-0.469169371652827,-0.329217995717116,1.09233158822906,1.48709931310046,0.365362129382746,0.624803410159697,1.15567528411712,1.14703048073212,-0.765351811740518,-0.580032122358736,6,"Human"
"ARF5",1.27568419935061,1.9745111232489,1.19449212650717,0.226469486287895,-0.00728490655264065,0.330216302092732,0.0152218774459792,-0.337651290829365,-0.798310081725042,-0.901642636827618,0.0422081735507357,-0.0782810058399286,-1.51958682250589,-1.41604654420353,8,"Human"
"SARM1",1.15813962001452,0.564036251801476,0.72353929719436,1.14934388664438,0.351567066125652,1.63830420268302,-0.17465369562342,-0.0687903617980019,-0.305099949181523,-0.405107722169128,-1.24774513772815,-0.302600380621478,-1.51315651383133,-1.5677765635104,9,"Human"
"POLDIP2",0.332070653498006,1.53128685120228,1.52747907994866,-0.336320009001841,-0.863550919588907,-0.279810568691951,0.196023539433345,-0.0849631296366437,-1.81845766243199,-1.61565506340447,-0.139776595299703,-0.0541231955806374,0.79844536813684,0.807351651416975,1,"Human"
"AK2",0.745923464011326,0.924381997098917,0.754539040864399,-1.2168800469067,-1.33376532502548,-1.36811365606936,0.895559975293604,1.02908403220779,-1.10032308670811,-1.16920145199733,0.822537643093891,0.867138024784803,0.145006868862546,0.00411252048970587,6,"Human"
"CD38",0.875865675509008,0.311923080823884,0.915827978239822,1.42186331638298,1.26433947830939,1.3539968626429,-0.750652106418087,-1.05814793242638,-0.0387838589593027,-0.270100423100925,-1.05256301785821,-0.875025608282429,-1.12051159437652,-0.978031850486138,5,"Human"
"FKBP4",0.363661603757599,1.07874859208106,0.441770710278173,-1.31814838101841,-1.59923853236476,-1.18850889648304,0.389666754692501,0.309854510793886,-0.616675460585404,-1.12589362423937,0.249137237081571,0.271624235102019,1.42130743499544,1.32269381590874,11,"Human"
"RBM6",-1.24496771340759,-0.858140410514159,-1.39750366624737,-0.654693051719088,-0.542374631142412,-0.903793123031456,0.158644628824862,0.507260300599187,1.84737153130518,1.73220090460602,0.266326450601415,0.200228028584068,0.348173643200906,0.541267108340443,3,"Human"
"VPS50",-0.6514854819335,-1.59141734964285,-1.20858666495948,-0.439157272288043,-1.07128445593608,-1.28085041548422,0.494046065749067,0.691184026398652,0.882155363628174,0.906142662347549,0.520989706459318,0.36743933072511,1.3309014655717,1.04992301936459,3,"Human"
"NDUFAB1",1.30162731527274,1.66701603797995,1.22864491993138,-0.0403137186918514,0.180260863970041,0.100045408223979,0.171848048840098,0.28113902259004,-1.1777761246004,-1.29076880449794,0.190065529288376,0.129769337487602,-1.35892596161085,-1.38263187418315,8,"Human"
"PDK4",-0.870758860501264,-1.75382067525401,-1.54221349260511,-1.08561103179048,-0.070840248746587,-0.43041880397585,0.700226514731853,0.951255789040063,1.03990284287264,1.26631445389753,0.852100668437913,0.768158258147007,0.029090431027484,0.146614154718799,3,"Human"
"ABCB5",-1.84499788617576,-1.84499788617576,-0.773299802030649,-0.182381568189489,0.373911834326666,-0.572157001589286,0.50276073508228,0.18090403411258,0.671728507765277,1.1722800732355,0.0320215649378298,-0.130836905650416,1.05233801852772,1.3627262818235,2,"Human"
"SLC25A13",-0.887315802247252,-1.19247579869713,-0.889383957982087,-1.21859267859231,-1.16067679663526,-1.10518094868514,0.667481053817766,0.834744311756692,1.35258789519897,1.20836466503212,0.817349341030964,0.46568926230451,0.64323727806065,0.464172175637529,3,"Human"
"ST7",-0.339797714966862,-0.722229579494704,-0.447785079276033,-0.959949081995128,-1.00512681703736,-1.40405844111886,-0.305140100069213,0.291953825348312,0.743225675842798,0.5035579205501,-0.126297493422323,-0.0381253740747256,1.91827955983396,1.89149269988005,2,"Human"
"CDC27",-0.66066187915447,-1.61898392473043,-1.0647664825216,-1.02145258163847,-0.699874302307633,-1.14276390563028,0.362892888574772,0.578790481563956,1.32431155935376,1.20254390528439,0.353483050594996,0.366991067310177,1.05548891870919,0.964001204591636,3,"Human"
"SLC4A1",-0.810957539352295,-1.05700162530178,-0.580076832610511,-1.87488973286196,-0.469535916293702,-1.14476114051509,0.252640288516476,1.00319073067041,0.818164008550555,1.3549548447112,0.164112877737362,0.493595711757214,1.30216084886713,0.54840347612499,3,"Human"
"DVL2",0.638874767929247,1.86192163271481,1.71487590729554,-1.17116760843447,-1.10543559510962,-1.27175305894028,0.165427438620896,-1.2373840913597,0.333743657331784,0.346402729374935,-0.32548171894149,0.17071792536749,-0.203675986726636,0.0829340008774692,4,"Human"
"PRSS22",-0.613287236225801,0.56590465336487,-0.0814090843487297,1.71070908844726,1.27872147029045,1.67374016637698,-0.629800136515736,-1.46003486181712,0.377391434520776,0.147483897754139,-0.883558458587522,-0.765159067573392,-0.700014894311594,-0.62068697137458,7,"Human"
"SKAP2",0.62223437540639,-0.322291200710578,0.208926638312429,1.21210244211589,1.46532763645983,0.817754234627612,0.117082700666213,0.464991534426068,-0.681126724119434,-0.704804329483761,0.293506848775694,0.205641835939637,-1.75328949299805,-1.94605649941794,5,"Human"
"MCUB",1.2768807781142,1.3778705005846,0.954409302402122,0.634574511084628,0.805373502821819,0.841867457907179,-0.140158598198918,-0.140457411713058,-1.32473530477896,-1.08035829895635,-0.313718035753279,-0.166839162725895,-1.34904663142507,-1.37566260936301,4,"Human"
"POLR2J",1.24083794329447,2.1660542494487,1.06672301497046,-0.216117768164087,-0.110244133348992,-0.167198756941777,0.293299778628737,0.000872320017255824,-1.27484843875657,-1.38735297023726,0.17761163483403,0.128030878794698,-0.856020494235638,-1.06164725830403,9,"Human"
"DHX33",-1.28874356321463,-1.3936217200423,-0.824712081000271,-0.591078254813409,-1.23646872448035,-0.908604773911974,0.526959122026562,0.599165737826084,0.723970457047078,0.775345495918797,0.352847410950795,0.47229454661344,1.44125570935002,1.35139063773017,3,"Human"
"THSD7A",-0.628358573880339,-0.997929473577722,-0.599974689884999,-0.61592493728615,-0.500457621508189,-0.643274976487062,-0.456575409695356,-0.532545202091523,1.54208225937843,1.53470149934088,-0.516876228259518,-0.552394785851581,1.43424621248209,1.53328192732104,2,"Human"
"LIG3",-1.19887569876077,-1.19028776335741,-0.803812072978744,-1.20167805074812,-0.937302429350899,-1.1770768235856,1.085826889491,1.15036344856238,0.61582153199183,0.44144708764728,0.815520118841072,0.976051753322392,0.507533791908551,0.916468217017064,3,"Human"
