Series16_A549ACE2_Mock_1,Series16_A549ACE2_Mock_2,Series16_A549ACE2_Mock_3,Series16_A549ACE2_SARSCoV2_1,Series16_A549ACE2_SARSCoV2_2,Series16_A549ACE2_SARSCoV2_3,Series16_A549ACE2_SARSCoV2_Rux_1,Series16_A549ACE2_SARSCoV2_Rux_2,Series16_A549ACE2_SARSCoV2_Rux_3
L1FLnI_18q11.2f,0,0,0,0,0,0,0,0,0
L1FLnI_18q11.2g,0,0,0,0,0,0,0,0,0
L1FLnI_18q11.2h,0,0,0,0,0,0,0,0,0
L1FLnI_18q11.2i,0,0,0,0,1,0,0,0,0
L1FLnI_18q11.2j,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1aa,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1ba,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1c,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1ca,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1da,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1e,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1ea,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1fa,0,0,1,2,0,0,1,0,0
L1FLnI_18q12.1g,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1h,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1i,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1k,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1m,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1p,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1q,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1r,0,0,0,0,0,1,0,0,0
L1FLnI_18q12.1s,0,2,1,0,0,0,2,1,1
L1FLnI_18q12.1t,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1x,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.1y,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2a,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2c,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2d,0,0,1,5,5,3,0,1,1
L1FLnI_18q12.2e,0,1,0,0,0,0,0,0,0
L1FLnI_18q12.2f,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2g,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2h,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2i,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2j,2,2,6,2,1,0,1,1,0
L1FLnI_18q12.2m,0,0,1,0,0,0,0,0,0
L1FLnI_18q12.2o,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2p,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2q,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2t,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.2u,0,0,1,0,1,0,0,0,1
L1FLnI_18q12.3b,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3c,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3d,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3f,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3g,0,0,1,0,0,0,0,0,0
L1FLnI_18q12.3i,0,0,0,0,0,0,0,1,1
L1FLnI_18q12.3j,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3l,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3m,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3o,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3p,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3q,0,0,0,1,0,0,0,0,0
L1FLnI_18q12.3r,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3u,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3v,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3w,0,0,0,0,0,0,0,1,0
L1FLnI_18q12.3x,0,0,0,0,0,0,0,0,0
L1FLnI_18q12.3y,1,0,1,6,5,15,10,9,4
L1FLnI_18q21.1a,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1b,0,0,0,0,0,0,1,0,0
L1FLnI_18q21.1c,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1e,0,0,0,0,0,0,0,1,0
L1FLnI_18q21.1f,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1g,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1h,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1i,0,0,1,0,1,1,2,1,0
L1FLnI_18q21.1j,0,0,0,1,0,0,0,0,0
L1FLnI_18q21.1k,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1l,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1m,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.1n,0,0,1,0,0,0,0,1,0
L1FLnI_18q21.2a,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2b,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2c,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2f,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2h,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2i,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2l,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2m,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2n,0,0,1,0,0,0,0,0,1
L1FLnI_18q21.2o,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2p,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2q,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2r,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.2s,0,0,0,1,0,0,0,0,0
L1FLnI_18q21.31b,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.31d,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.31e,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.31f,0,0,0,0,0,0,0,0,2
L1FLnI_18q21.32a,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.32b,4,49,41,7,16,13,20,12,8
L1FLnI_18q21.32c,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.32d,0,0,0,1,0,1,0,0,0
L1FLnI_18q21.32e,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.32f,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.32g,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.32i,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.33a,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.33b,0,8,6,5,5,6,0,2,1
L1FLnI_18q21.33c,0,0,0,0,0,0,0,0,0
L1FLnI_18q21.33d,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1a,0,0,0,0,0,0,0,2,0
L1FLnI_18q22.1b,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1c,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1d,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1e,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1f,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1g,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1j,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.1o,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.2a,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.2c,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.2d,0,0,1,0,0,0,0,0,0
L1FLnI_18q22.2e,2,15,9,3,1,3,6,2,4
L1FLnI_18q22.2f,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.2g,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.3c,0,0,0,0,0,0,0,0,0
L1FLnI_18q22.3d,0,0,0,0,0,0,0,0,0
L1FLnI_18q23b,0,0,0,1,0,2,3,2,1
L1FLnI_18q23d,0,0,0,0,0,0,0,0,0
L1FLnI_18q23e,0,0,0,0,0,0,0,0,0
L1FLnI_18q23f,0,0,0,0,0,0,0,0,0
L1FLnI_18q23g,0,0,0,0,0,0,0,0,0
L1FLnI_18q23i,0,0,0,0,0,0,0,0,0
L1FLnI_18q23j,0,0,0,0,0,0,0,1,0
L1FLnI_18q23k,0,0,0,0,0,0,0,1,0
L1FLnI_19p11a,0,0,0,0,0,0,0,0,0
L1FLnI_19p11b,0,0,0,0,0,0,0,0,0
L1FLnI_19p11c,0,0,0,0,0,0,0,0,0
L1FLnI_19p12a,0,0,0,0,0,0,0,0,0
L1FLnI_19p12b,0,0,0,0,0,0,0,0,0
L1FLnI_19p12c,0,0,0,0,0,0,0,0,0
L1FLnI_19p12d,0,0,0,0,0,0,0,0,0
L1FLnI_19p12e,0,0,0,0,0,0,0,0,0
L1FLnI_19p12f,0,0,0,0,0,0,0,0,0
L1FLnI_19p12g,0,0,0,0,0,0,0,0,0
L1FLnI_19p12h,0,0,0,0,0,0,0,0,0
L1FLnI_19p12i,0,0,0,0,0,0,0,0,0
L1FLnI_19p12j,0,0,0,0,0,0,0,0,0
L1FLnI_19p12k,0,0,0,0,0,0,0,0,0
L1FLnI_19p12l,0,0,0,0,0,0,0,0,0
L1FLnI_19p12m,0,0,0,0,0,0,0,0,0
L1FLnI_19p12n,0,0,0,0,0,0,0,0,0
L1FLnI_19p12o,0,0,0,0,0,0,0,0,0
L1FLnI_19p12p,0,0,0,0,0,0,0,0,0
L1FLnI_19p12q,0,0,0,0,0,0,0,0,0
L1FLnI_19p12r,0,0,0,0,0,0,0,0,0
L1FLnI_19p12s,0,0,0,0,0,0,0,0,0
L1FLnI_19p12t,0,0,0,0,0,0,0,0,0
L1FLnI_19p12u,0,0,2,0,0,0,0,0,0
L1FLnI_19p13.11,0,0,0,0,0,0,0,1,0
L1FLnI_19p13.2a,0,1,1,0,0,2,1,0,0
L1FLnI_19p13.2b,0,0,0,0,0,0,0,0,0
L1FLnI_19p13.2c,0,0,0,0,0,0,0,0,0
L1FLnI_19p13.2d,0,0,0,0,0,0,0,0,0
L1FLnI_19p13.3,0,0,0,0,0,0,0,0,0
L1FLnI_19q11a,0,0,0,0,0,0,0,0,0
L1FLnI_19q11b,0,0,0,0,0,0,0,0,0
L1FLnI_19q11c,0,7,3,2,0,2,3,2,1
L1FLnI_19q11d,0,0,0,0,0,0,0,0,0
L1FLnI_19q11e,0,0,0,0,0,0,0,0,0
L1FLnI_19q12b,0,0,0,0,0,0,0,0,0
L1FLnI_19q12d,0,0,0,0,0,0,0,0,0
L1FLnI_19q12e,0,0,0,0,0,0,0,0,0
L1FLnI_19q12f,0,0,0,0,0,1,0,0,0
L1FLnI_19q12h,0,0,0,0,0,0,1,2,0
L1FLnI_19q12j,0,0,0,0,0,0,0,0,0
L1FLnI_19q12l,0,0,0,0,0,0,0,0,0
L1FLnI_19q12m,0,0,0,0,0,0,0,0,0
L1FLnI_19q12n,0,0,0,0,0,0,0,0,0
L1FLnI_19q12o,0,0,0,0,0,0,0,0,0
L1FLnI_19q12p,22,127,110,27,30,19,50,49,40
L1FLnI_19q12q,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.11a,5,50,78,109,93,141,121,131,89
L1FLnI_19q13.11b,0,1,0,0,0,0,4,0,0
L1FLnI_19q13.11c,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.11d,2,16,11,6,4,3,4,3,0
L1FLnI_19q13.11e,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.11f,0,2,0,0,0,0,0,1,0
L1FLnI_19q13.12a,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.12b,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.12c,0,0,0,1,0,0,0,0,0
L1FLnI_19q13.2a,0,0,0,0,0,1,1,1,0
L1FLnI_19q13.2b,0,0,0,1,0,0,0,0,0
L1FLnI_19q13.2c,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.2d,5,30,32,51,37,31,67,44,53
L1FLnI_19q13.2e,0,3,1,5,3,1,7,6,6
L1FLnI_19q13.2f,0,2,3,0,1,1,4,2,2
L1FLnI_19q13.2h,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.2i,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.2j,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.31a,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.31b,20,64,51,23,20,14,35,12,13
L1FLnI_19q13.31c,5,9,11,5,6,5,7,12,11
L1FLnI_19q13.31d,5,24,24,33,23,25,43,40,34
L1FLnI_19q13.31e,6,19,21,10,17,15,26,22,16
L1FLnI_19q13.42a,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.42b,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.43a,0,0,0,0,0,0,0,0,0
L1FLnI_19q13.43c,0,0,0,0,0,0,0,0,0
L1FLnI_1p11.2a,0,0,0,0,0,0,0,0,0
L1FLnI_1p11.2b,0,0,0,0,0,0,0,0,0
L1FLnI_1p11.2c,0,0,0,0,0,0,0,0,0
L1FLnI_1p11.2d,0,0,0,0,0,0,0,0,0
L1FLnI_1p11.2e,0,0,0,0,0,0,0,0,0
L1FLnI_1p11.2f,0,0,1,0,0,0,0,0,0
L1FLnI_1p11.2g,0,0,1,0,0,0,0,0,0
L1FLnI_1p11.2h,0,3,0,0,0,0,0,0,0
L1FLnI_1p11.2i,0,0,0,0,0,0,0,0,0
L1FLnI_1p12a,0,0,0,0,0,0,0,0,0
L1FLnI_1p12b,0,0,0,0,0,1,1,0,0
L1FLnI_1p12c,0,0,0,0,0,0,0,0,0
L1FLnI_1p12f,0,0,0,0,0,0,0,0,0
L1FLnI_1p12g,0,0,0,0,1,1,0,0,0
L1FLnI_1p12i,0,0,0,0,0,0,0,0,0
L1FLnI_1p12j,0,0,0,0,0,0,0,0,0
L1FLnI_1p12k,0,0,0,0,0,0,0,0,0
L1FLnI_1p12l,0,0,0,0,0,0,0,0,0
L1FLnI_1p12m,0,0,0,0,0,0,0,0,0
L1FLnI_1p12n,0,0,0,0,0,0,0,0,0
L1FLnI_1p12o,0,0,0,4,1,3,1,2,2
L1FLnI_1p12q,0,0,0,0,0,0,0,0,0
L1FLnI_1p12r,0,0,0,0,0,0,1,1,0
L1FLnI_1p12s,0,7,3,4,2,1,7,4,2
L1FLnI_1p12t,0,0,0,0,0,0,0,0,0
L1FLnI_1p12u,5,33,15,10,13,15,23,17,15
L1FLnI_1p12w,0,0,0,0,0,0,0,0,0
L1FLnI_1p12x,0,1,1,0,0,0,0,0,0
L1FLnI_1p12y,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.1a,0,0,0,0,1,0,0,0,0
L1FLnI_1p13.1c,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.1e,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.1f,1,2,0,1,0,2,0,1,0
L1FLnI_1p13.2b,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2c,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2d,0,0,1,0,1,0,0,0,0
L1FLnI_1p13.2e,1,2,4,2,3,0,6,6,7
L1FLnI_1p13.2f,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2g,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2h,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2i,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2j,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2l,0,0,0,2,2,0,1,2,1
L1FLnI_1p13.2m,1,22,17,3,5,7,13,12,4
L1FLnI_1p13.2n,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2o,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2q,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2r,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2s,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.2t,0,0,1,0,0,0,0,0,0
L1FLnI_1p13.3a,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.3b,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.3e,3,10,13,6,4,7,8,5,4
L1FLnI_1p13.3f,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.3g,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.3i,0,0,0,0,0,0,0,0,0
L1FLnI_1p13.3j,4,9,9,2,1,2,3,3,2
L1FLnI_1p13.3k,0,0,0,0,0,1,0,0,0
L1FLnI_1p13.3l,0,1,2,3,6,5,7,8,4
L1FLnI_1p13.3m,0,0,0,0,0,0,1,1,0
L1FLnI_1p21.1b,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1ba,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1ca,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1d,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1e,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1f,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1g,0,0,1,0,1,0,0,0,0
L1FLnI_1p21.1h,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1i,0,0,0,0,0,1,0,0,0
L1FLnI_1p21.1j,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1l,0,1,0,0,0,0,0,0,0
L1FLnI_1p21.1m,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1n,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1p,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1q,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1r,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1s,0,0,1,0,0,0,0,0,0
L1FLnI_1p21.1y,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.1z,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.2a,0,0,0,1,0,0,0,1,1
L1FLnI_1p21.2c,8,25,16,7,4,4,19,10,11
L1FLnI_1p21.2d,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.2e,0,1,0,0,2,0,2,0,0
L1FLnI_1p21.2f,0,1,3,0,1,0,2,0,0
L1FLnI_1p21.2h,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.2i,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.2j,0,0,0,0,0,0,1,0,1
L1FLnI_1p21.2k,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.2l,0,0,0,0,0,0,2,0,0
L1FLnI_1p21.2m,0,0,1,2,1,0,3,2,0
L1FLnI_1p21.3a,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3b,2,14,8,5,0,6,5,6,2
L1FLnI_1p21.3ba,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3c,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3d,0,0,0,1,0,0,0,0,0
L1FLnI_1p21.3da,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3f,0,0,1,0,0,0,0,1,0
L1FLnI_1p21.3g,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3h,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3i,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3j,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3k,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3m,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3n,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3q,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3s,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3t,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3u,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3v,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3y,0,0,0,0,0,0,0,0,0
L1FLnI_1p21.3z,1,2,4,0,1,2,2,1,0
L1FLnI_1p22.1a,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.1b,0,4,5,2,1,6,7,7,5
L1FLnI_1p22.1c,2,5,4,5,1,1,4,1,1
L1FLnI_1p22.1d,13,57,31,22,23,26,39,32,24
L1FLnI_1p22.1e,0,0,0,0,0,0,1,0,3
L1FLnI_1p22.1f,1,0,0,0,0,2,1,1,1
L1FLnI_1p22.1g,0,3,1,1,4,1,3,5,2
L1FLnI_1p22.1h,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.1i,0,0,1,0,0,0,1,1,2
L1FLnI_1p22.1j,0,0,0,0,0,0,0,0,1
L1FLnI_1p22.1k,0,0,0,0,1,0,2,1,0
L1FLnI_1p22.1l,0,0,1,0,0,0,0,0,0
L1FLnI_1p22.1m,0,2,1,0,3,0,2,5,0
L1FLnI_1p22.1n,2,1,1,0,0,0,0,1,0
L1FLnI_1p22.1o,0,1,0,0,0,1,1,0,0
L1FLnI_1p22.1p,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.1q,0,0,0,0,0,0,1,0,0
L1FLnI_1p22.2a,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2aa,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2b,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2ba,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2c,0,0,1,0,0,0,0,0,0
L1FLnI_1p22.2d,0,0,1,0,0,0,0,0,0
L1FLnI_1p22.2e,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2g,0,0,0,0,0,0,0,1,0
L1FLnI_1p22.2h,0,0,0,6,4,7,4,3,3
L1FLnI_1p22.2j,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2k,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2l,0,0,0,1,2,1,0,0,0
L1FLnI_1p22.2m,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2n,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2o,0,0,0,0,0,1,0,0,0
L1FLnI_1p22.2p,0,0,0,1,0,0,0,0,0
L1FLnI_1p22.2q,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2r,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2s,0,0,0,1,0,0,0,0,0
L1FLnI_1p22.2t,0,1,0,0,0,1,1,0,1
L1FLnI_1p22.2u,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2v,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2x,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2y,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.2z,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3a,0,0,0,1,0,0,1,0,0
L1FLnI_1p22.3b,0,1,1,0,1,0,0,0,0
L1FLnI_1p22.3c,0,0,3,0,1,0,0,0,0
L1FLnI_1p22.3d,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3f,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3g,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3i,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3k,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3l,0,0,0,0,0,0,0,0,0
L1FLnI_1p22.3m,0,0,1,0,0,0,0,0,0
L1FLnI_1p22.3n,0,1,1,0,0,0,0,0,0
L1FLnI_1p22.3o,0,2,1,0,0,0,0,0,0
L1FLnI_1p22.3p,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1a,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1aa,0,0,0,1,0,0,0,0,0
L1FLnI_1p31.1ac,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ba,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1bb,0,0,0,0,0,0,0,1,0
L1FLnI_1p31.1c,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ca,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1cb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1cc,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1d,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1dc,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ea,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1eb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ec,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1f,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1fb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1g,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ga,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ha,0,4,0,0,0,0,2,0,0
L1FLnI_1p31.1hb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1i,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ia,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ic,1,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ja,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1jb,0,0,0,0,0,0,0,1,0
L1FLnI_1p31.1jc,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1kb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1kc,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1l,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1la,0,1,2,4,0,2,4,0,0
L1FLnI_1p31.1lb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1lc,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1mb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1mc,0,0,0,0,0,2,0,0,0
L1FLnI_1p31.1na,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ob,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1pa,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1pc,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1q,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1qa,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1qb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ra,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1rc,35,211,174,33,31,33,52,74,59
L1FLnI_1p31.1s,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1sa,0,0,1,0,0,0,0,0,0
L1FLnI_1p31.1sb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1sc,0,0,0,0,0,0,0,1,0
L1FLnI_1p31.1t,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1ta,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1tb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1u,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1va,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1w,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1wa,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1wb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1x,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1xa,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1y,0,1,0,0,0,0,0,0,0
L1FLnI_1p31.1ya,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.1zb,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.2a,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.2b,0,1,1,0,0,0,0,0,0
L1FLnI_1p31.2d,0,1,1,0,1,1,0,0,0
L1FLnI_1p31.2e,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.2f,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.3a,0,2,0,0,1,0,0,1,3
L1FLnI_1p31.3b,0,0,0,0,0,0,0,0,0
L1FLnI_1p31.3c,0,0,0,0,0,0,1,0,0
