Series16_A549ACE2_Mock_1,Series16_A549ACE2_Mock_2,Series16_A549ACE2_Mock_3,Series16_A549ACE2_SARSCoV2_1,Series16_A549ACE2_SARSCoV2_2,Series16_A549ACE2_SARSCoV2_3,Series16_A549ACE2_SARSCoV2_Rux_1,Series16_A549ACE2_SARSCoV2_Rux_2,Series16_A549ACE2_SARSCoV2_Rux_3
ERVLE_13q14.11,1,0,0,0,0,0,0,0,0
ERVLE_14q12m,1,5,0,6,2,2,7,3,4
ERVLE_14q21.3e,1,0,0,0,1,0,1,0,0
ERVLE_14q32.32c,1,4,2,41,35,35,78,93,40
ERVLE_15q25.1f,1,1,1,1,1,1,2,1,0
ERVLE_15q25.3b,1,4,2,9,9,5,8,7,19
ERVLE_16p13.3a,2,5,4,0,1,0,2,0,1
ERVLE_16q22.3b,1,0,0,0,0,0,0,0,0
ERVLE_17p11.2c,1,2,6,1,0,4,2,2,0
ERVLE_18q12.2a,1,1,2,6,6,10,9,14,11
ERVLE_19p13.2a,1,2,3,2,1,2,0,1,0
ERVLE_19q13.42,2,3,6,3,6,2,5,2,2
ERVLE_1p13.2a,3,1,3,2,3,3,3,1,2
ERVLE_1p32.3c,1,0,0,0,0,0,0,0,0
ERVLE_1p35.1c,1,10,7,4,7,17,10,25,10
ERVLE_1p35.3c,1,0,1,0,0,1,0,1,2
ERVLE_1p36.12,0,0,0,1,0,0,2,1,2
ERVLE_1p36.13b,1,7,8,8,19,10,26,13,12
ERVLE_1q21.1a,0,0,0,0,0,0,0,0,0
ERVLE_1q21.3b,1,0,0,1,0,2,2,1,1
ERVLE_1q23.1a,5,19,22,41,27,37,70,59,46
ERVLE_1q23.2b,4,8,13,15,18,15,23,8,15
ERVLE_1q32.1b,1,2,0,0,0,1,1,0,0
ERVLE_1q42.12a,1,1,0,1,0,0,0,1,3
ERVLE_20q13.33b,3,9,8,8,11,13,15,14,10
ERVLE_21q11.2,0,0,0,0,0,0,0,0,0
ERVLE_22q11.21a,0,0,0,1,0,0,0,0,0
ERVLE_22q11.21b,0,0,0,0,0,0,0,0,0
ERVLE_22q13.33,1,11,5,6,4,5,2,3,1
ERVLE_2p14a,1,0,0,0,0,0,0,0,0
ERVLE_2p22.1b,2,3,1,6,3,6,5,11,5
ERVLE_2p23.3a,1,0,0,0,1,0,0,0,0
ERVLE_2q11.2a,1,7,2,10,0,5,16,11,5
ERVLE_2q11.2b,4,20,11,7,8,8,14,9,17
ERVLE_3p12.2h,1,0,0,2,1,1,0,0,2
ERVLE_3q29b,3,6,3,3,1,3,2,2,2
ERVLE_4q13.3g,1,1,0,0,2,0,3,1,0
ERVLE_4q21.21d,0,0,0,0,0,0,0,0,0
ERVLE_5p14.1o,1,3,2,1,4,4,1,1,5
ERVLE_5p15.31b,1,0,0,0,0,3,0,2,1
ERVLE_5q31.1c,5,16,8,15,21,16,17,21,20
ERVLE_5q31.1h,1,3,5,1,0,1,2,1,0
ERVLE_5q35.3c,2,6,3,2,0,0,2,0,0
ERVLE_6q22.32,1,0,3,0,0,0,1,0,0
ERVLE_6q23.2b,1,1,1,0,1,0,0,0,0
ERVLE_7p15.3a,1,3,0,0,0,2,2,3,2
ERVLE_7q22.1c,1,3,2,0,2,1,2,3,2
ERVLE_7q31.1b,1,0,0,0,0,0,1,1,0
ERVLE_7q32.3a,1,1,0,0,2,2,2,2,1
ERVLE_8q11.23b,1,7,1,11,14,13,16,13,5
ERVLE_8q22.3c,1,4,2,1,0,3,2,2,5
ERVLE_8q24.11,1,3,1,5,1,0,1,4,3
ERVLE_8q24.3f,1,8,1,1,0,0,0,0,3
ERVLE_8q24.3h,1,2,3,0,0,0,0,0,0
ERVLE_8q24.3i,1,1,0,1,0,0,0,0,2
ERVLE_9p24.1b,1,7,4,0,2,1,1,1,1
ERVLE_9q21.13c,1,1,4,0,1,2,2,1,0
ERVLE_9q22.31,1,5,3,39,33,38,46,64,44
ERVLE_Xp21.1d,1,1,0,1,0,0,0,0,0
ERVLE_Xq22.1a,1,1,1,0,0,0,0,2,1
HARLEQUIN_10p11.23a,0,0,0,0,0,0,0,0,0
HARLEQUIN_10p11.23b,0,0,0,0,0,0,0,0,0
HARLEQUIN_10q21.2a,0,0,0,0,0,0,0,0,0
HARLEQUIN_10q21.2b,0,0,0,2,2,0,1,5,2
HARLEQUIN_10q22.1,0,0,1,0,0,0,1,0,1
HARLEQUIN_10q23.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_10q23.33,2,2,0,0,0,0,0,0,0
HARLEQUIN_10q24.2,1,0,0,0,2,0,0,0,1
HARLEQUIN_11q12.2a,0,0,0,0,0,0,0,0,0
HARLEQUIN_11q12.2b,0,0,0,0,0,0,0,0,0
HARLEQUIN_11q13.4,0,0,6,2,0,2,6,2,0
HARLEQUIN_11q14.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_11q21,0,0,0,0,0,1,1,0,1
HARLEQUIN_11q22.1b,0,0,0,0,0,0,0,0,0
HARLEQUIN_11q22.3,0,0,0,0,0,0,0,0,0
HARLEQUIN_12p12.2,1,4,1,2,3,0,1,0,2
HARLEQUIN_12p13.32,0,0,0,0,0,0,0,0,0
HARLEQUIN_12q13.12,0,0,0,1,0,0,0,0,0
HARLEQUIN_12q15,0,0,0,0,0,0,0,0,0
HARLEQUIN_12q21.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_13q12.12,0,0,0,0,0,0,0,0,0
HARLEQUIN_13q22.3,0,0,0,0,0,0,0,0,0
HARLEQUIN_14q21.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_16p11.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_17q12,0,0,0,0,0,0,0,0,0
HARLEQUIN_17q21.31,35,191,127,97,112,82,153,135,112
HARLEQUIN_17q21.33,0,0,0,0,0,0,0,0,0
HARLEQUIN_17q25.3b,0,1,2,7,4,6,5,6,5
HARLEQUIN_18p11.22a,0,0,0,0,0,0,0,0,0
HARLEQUIN_18p11.22b,0,0,1,0,0,0,0,0,0
HARLEQUIN_19p12a,0,0,0,0,0,0,0,0,0
HARLEQUIN_19p12b,0,0,0,0,0,0,0,0,0
HARLEQUIN_19p12c,0,0,0,0,0,0,0,0,0
HARLEQUIN_19p12d,0,0,0,0,0,0,0,0,0
HARLEQUIN_19p12e,0,0,0,0,0,0,0,0,0
HARLEQUIN_19p13.11,2,12,8,2,5,3,7,2,3
HARLEQUIN_19p13.2,0,0,0,0,1,0,1,0,0
HARLEQUIN_19p13.3,0,4,4,0,0,0,0,0,0
HARLEQUIN_19q13.41,0,0,0,0,0,0,0,0,0
HARLEQUIN_1p13.2a,0,0,1,0,0,0,0,0,0
HARLEQUIN_1p13.2b,2,9,7,11,6,8,7,10,8
HARLEQUIN_1p22.1,0,0,0,0,0,0,0,0,0
HARLEQUIN_1p22.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_1p33,0,0,0,2,4,0,1,0,2
HARLEQUIN_1p34.3a,0,0,0,0,0,0,0,0,0
HARLEQUIN_1p35.3,1,6,5,0,2,2,6,4,1
HARLEQUIN_1p36.33,0,0,0,1,0,0,3,2,0
HARLEQUIN_1q24.2,0,0,0,0,0,0,0,0,0
HARLEQUIN_1q24.3,0,0,2,16,14,7,12,20,11
HARLEQUIN_1q32.1,0,0,0,1,4,0,1,1,0
HARLEQUIN_1q32.3,0,1,0,2,0,1,4,0,0
HARLEQUIN_1q41,0,0,0,0,0,0,0,0,0
HARLEQUIN_1q42.13a,0,0,0,0,0,0,1,0,1
HARLEQUIN_1q42.13b,0,0,1,0,0,0,1,0,0
HARLEQUIN_1q42.13c,3,25,18,3,6,4,8,12,12
HARLEQUIN_1q44,0,0,0,0,0,0,0,0,0
HARLEQUIN_20p12.1,0,0,0,0,1,2,0,1,0
HARLEQUIN_20q13.32,0,0,0,0,0,0,0,0,0
HARLEQUIN_21q22.3a,4,1,5,1,1,5,5,6,4
HARLEQUIN_21q22.3b,0,0,0,0,1,0,1,0,0
HARLEQUIN_2p24.3,0,0,1,1,0,0,0,0,1
