N3,N2,B1,B2,P3,P2,P1,N1,C1,C2,C3
HERVH_1p31.1a,19,34,0,0,23,34,20,37,52,39,52
HERVH_1p31.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1e,0,0,0,0,1,1,0,0,0,0,0
HERVH_1p31.1f,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1g,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1h,0,0,0,0,1,0,0,0,0,0,0
HERVH_1p31.1i,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1j,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1k,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1l,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.1m,2,0,0,0,1,1,0,2,0,0,0
HERVH_1p31.3a,0,3,0,0,2,0,2,0,1,1,1
HERVH_1p31.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p31.3c,0,0,0,0,0,0,0,0,5,5,5
HERVH_1p31.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p32.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p32.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p32.3d,2,0,1,0,0,0,0,2,0,1,1
HERVH_1p32.3e,2,1,0,0,21,0,14,0,2,0,0
HERVH_1p33,0,0,0,0,21,5,8,8,7,6,1
HERVH_1p34.1,4,5,0,0,8,2,2,3,0,0,0
HERVH_1p34.2a,2,11,0,0,29,26,11,38,16,17,20
HERVH_1p34.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p34.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p34.3b,1,0,0,0,0,0,0,0,0,0,0
HERVH_1p34.3c,68,36,2,0,53,39,37,51,3,5,2
HERVH_1p34.3d,0,2,0,0,0,0,0,1,0,0,0
HERVH_1p35.1,0,0,0,0,0,2,0,0,0,0,0
HERVH_1p35.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p36.12,0,2,0,0,1,0,0,0,0,0,0
HERVH_1p36.13,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p36.21,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p36.32a,1,0,0,0,0,0,0,0,0,0,0
HERVH_1p36.32b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1p36.32c,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q23.3,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q24.2,108,116,0,0,112,297,222,224,1,15,9
HERVH_1q25.2,0,0,0,0,0,0,0,0,0,1,0
HERVH_1q25.3,9,6,0,0,23,12,16,21,0,2,3
HERVH_1q31.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q31.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q31.2,8,3,1,0,9,7,2,12,0,0,1
HERVH_1q31.3,2,0,0,0,0,0,0,0,0,0,0
HERVH_1q32.1a,0,0,0,0,2,0,0,0,4,6,7
HERVH_1q32.1b,1,0,0,0,1,0,0,0,18,36,9
HERVH_1q32.2a,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q32.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q32.2c,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q32.3a,1,4,0,0,2,1,1,4,0,0,1
HERVH_1q32.3b,0,0,0,0,1,0,0,0,0,0,0
HERVH_1q41a,0,0,0,0,0,0,1,0,0,0,0
HERVH_1q41b,0,1,0,0,0,0,0,0,0,0,0
HERVH_1q41c,0,0,0,0,0,0,0,2,0,0,0
HERVH_1q41d,0,2,0,0,0,0,0,0,0,0,0
HERVH_1q41e,1,0,0,0,0,1,2,2,0,0,0
HERVH_1q41f,2,0,0,0,2,2,3,4,0,0,0
HERVH_1q41g,0,0,0,0,0,0,3,0,0,0,0
HERVH_1q41h,0,1,0,0,0,0,0,0,0,0,0
HERVH_1q42.12a,0,0,0,0,0,0,0,0,0,1,0
HERVH_1q42.12b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q42.13a,5,0,0,0,1,0,0,0,0,0,0
HERVH_1q42.13b,0,0,0,0,1,1,0,2,0,1,0
HERVH_1q42.13c,4,0,0,0,36,19,18,11,3,2,4
HERVH_1q42.13d,0,0,0,0,0,12,0,0,0,0,0
HERVH_1q42.13e,0,0,0,0,1,0,0,1,0,0,0
HERVH_1q42.2a,1,2,0,0,30,6,4,10,3,0,2
HERVH_1q42.2b,108,77,1,4,272,167,379,166,5,5,3
HERVH_1q42.2c,0,1,0,0,0,0,0,0,0,0,0
HERVH_1q42.2d,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q42.2e,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q43a,2,2,0,0,0,3,1,0,0,0,0
HERVH_1q43b,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q43c,0,0,0,0,0,0,0,0,0,0,0
HERVH_1q44,0,0,0,0,0,0,0,0,0,0,0
HERVH_20p11.23a,99,79,2,0,90,46,64,68,1,5,1
HERVH_20p11.23b,3,0,130,52,3,3,4,0,6,6,0
HERVH_20p12.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_20p12.1b,0,0,0,0,1,0,0,0,0,0,0
HERVH_20p12.1c,9,7,0,0,9,4,3,4,0,0,0
HERVH_20p12.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_20p13a,0,0,0,0,0,0,0,0,0,0,0
HERVH_20p13b,0,0,0,0,3,5,0,4,9,7,26
HERVH_20p13c,7,2,0,0,6,10,7,60,1,4,3
HERVH_20q11.23,0,0,0,0,0,0,0,1,0,0,0
HERVH_20q12a,0,0,0,0,1,0,0,0,0,0,0
HERVH_20q12b,0,0,0,0,0,0,0,1,0,0,0
HERVH_20q13.12a,5,4,0,0,4,4,3,3,0,1,0
HERVH_20q13.12b,0,0,0,0,0,0,0,0,0,0,0
HERVH_20q13.12c,0,0,0,0,0,0,1,1,0,0,0
HERVH_21p11.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q21.1a,0,1,0,1,0,0,0,0,2,0,0
HERVH_21q21.1b,1,2,0,0,0,0,0,0,0,2,1
HERVH_21q21.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q21.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q21.1e,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q21.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q21.3b,2,0,0,0,0,0,0,0,0,0,0
HERVH_21q22.13,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q22.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_21q22.3,24,38,0,0,27,37,12,54,0,0,0
HERVH_22q11.1,379,33,7,9,530,114,346,420,703,885,918
HERVH_22q12.1,1,2,0,0,1,0,1,0,1,0,0
HERVH_22q12.3a,39,39,0,0,83,68,54,68,0,2,0
HERVH_22q12.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_22q13.1a,6,1,0,0,4,4,0,6,0,0,0
HERVH_22q13.1b,15,21,0,0,34,28,7,20,0,0,36
HERVH_2p11.2a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p11.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p11.2c,3,4,0,0,9,2,0,3,0,0,0
HERVH_2p11.2d,0,0,0,0,2,2,1,0,0,0,0
HERVH_2p12a,1,5,0,0,0,0,2,1,0,0,0
HERVH_2p12b,0,1,0,0,0,0,0,0,0,0,0
HERVH_2p12c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p12d,0,0,0,0,0,0,0,1,0,0,0
HERVH_2p12e,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p12f,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p12g,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p12h,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p13.3a,252,299,1,5,293,317,155,452,102,104,112
HERVH_2p13.3b,2,3,0,0,1,7,30,0,0,0,0
HERVH_2p13.3c,4,1,0,0,2,0,1,3,0,0,0
HERVH_2p13.3d,1,0,0,0,4,4,0,4,0,0,0
HERVH_2p14a,7,2,0,0,11,7,5,10,0,0,0
HERVH_2p14b,153,73,1,0,134,116,398,1248,65,42,22
HERVH_2p14c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p14d,0,1,0,0,0,0,0,0,0,0,0
HERVH_2p16.1a,0,0,0,0,4,0,3,4,4,1,6
HERVH_2p16.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p16.1c,69,62,19,0,90,134,99,88,22,21,21
HERVH_2p16.1d,1,1,0,0,0,0,0,0,0,0,0
HERVH_2p16.1e,3,3,0,0,3,1,5,1,0,1,0
HERVH_2p16.2,1,1,0,0,0,0,0,0,0,0,0
HERVH_2p16.3a,9,36,0,0,19,14,6,14,0,0,0
HERVH_2p16.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p21a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p21b,0,1,0,0,0,0,0,0,0,0,0
HERVH_2p22.1,0,0,0,3,0,0,0,1,0,0,0
HERVH_2p22.2a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.2c,7,6,0,0,27,23,19,12,0,1,0
HERVH_2p22.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.3c,1,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.3e,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.3f,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p22.3g,2,0,0,0,0,0,0,0,0,0,0
HERVH_2p24.1,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p24.2,0,0,0,0,0,0,0,0,0,1,0
HERVH_2p24.3a,0,0,0,0,2,26,0,4,1,0,0
HERVH_2p24.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p24.3c,0,1,0,0,0,0,0,0,0,0,0
HERVH_2p25.1,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p25.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_2p25.3,0,0,0,0,0,0,0,1,0,0,0
HERVH_2q13,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q14.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q14.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q14.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q22.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q22.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q22.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q23.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q23.3b,0,0,0,0,0,0,0,0,0,0,1
HERVH_2q23.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q23.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q24.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q24.1b,0,1,0,0,0,0,0,0,0,0,0
HERVH_2q24.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q24.1d,103,32,0,0,237,258,107,254,7,11,3
HERVH_2q24.1e,125,43,0,0,257,201,118,262,1,7,0
HERVH_2q24.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q24.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q24.3c,1,3,0,0,1,2,2,7,0,0,0
HERVH_2q31.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q31.1b,15,40,0,0,53,40,18,29,2,2,2
HERVH_2q31.1c,15,14,0,2,19,23,19,32,0,0,1
HERVH_2q31.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.1b,0,4,0,0,1,0,2,0,1,0,0
HERVH_2q32.1c,2,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.1e,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.1f,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q32.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q33.1a,17,3,0,0,3,8,2,13,0,0,0
HERVH_2q33.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q33.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q33.2,196,420,0,0,209,461,188,475,79,52,44
HERVH_2q33.3a,6,11,0,0,10,15,10,12,0,1,2
HERVH_2q33.3b,0,0,0,0,0,0,1,0,0,0,0
HERVH_2q34a,0,0,0,0,2,0,0,0,0,0,0
HERVH_2q34b,0,2,0,0,0,0,0,0,0,0,0
HERVH_2q34c,0,0,0,2,0,0,0,1,0,0,0
HERVH_2q34d,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q34e,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q35a,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q35b,3,1,0,0,1,2,0,0,12,25,0
HERVH_2q35c,1,1,0,0,0,0,0,6,0,0,0
HERVH_2q36.1a,0,0,0,0,1,0,0,0,0,0,0
HERVH_2q36.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q36.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_2q36.1d,1,0,0,0,0,0,0,0,0,0,0
HERVH_2q37.1b,216,189,0,0,77,58,87,139,0,0,0
HERVH_2q37.3,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p11.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p11.1b,0,0,0,0,1,0,0,0,0,1,0
HERVH_3p11.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p12.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p12.1b,1,0,0,0,0,0,0,0,0,0,0
HERVH_3p12.2a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p12.2b,0,0,0,0,0,0,0,1,0,0,0
HERVH_3p12.3a,7,6,0,0,2,0,6,5,0,0,0
HERVH_3p12.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p12.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p12.3e,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p13a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p13b,71,11,0,0,26,67,9,223,0,0,0
HERVH_3p14.1,0,0,0,0,3,1,0,2,0,1,0
HERVH_3p14.3a,0,35,0,0,0,18,70,0,0,0,0
HERVH_3p14.3b,5,0,0,0,2,0,0,4,0,0,0
HERVH_3p14.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p21.31a,68,34,4,6,157,98,217,303,14,12,14
HERVH_3p21.31b,3,0,0,0,9,8,2,2,3,2,1
HERVH_3p21.31c,121,27,0,0,1,16,4,260,0,0,0
HERVH_3p21.31d,0,0,0,0,0,1,1,1,0,0,0
HERVH_3p21.31e,0,5,5,5,3,35,13,5,413,234,108
HERVH_3p21.31f,0,4,0,0,1,3,0,2,1,0,0
HERVH_3p22.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p22.1b,1,5,3,0,14,11,3,9,1,3,0
HERVH_3p22.2a,0,0,0,0,2,0,0,2,0,0,0
HERVH_3p22.2b,1,8,0,0,2,3,0,3,1,0,0
HERVH_3p22.3a,4,1,0,0,17,5,2,4,0,0,0
HERVH_3p22.3b,113,104,8,0,202,146,111,198,15,32,20
HERVH_3p22.3c,0,0,0,0,0,0,1,0,0,0,0
HERVH_3p22.3d,2,0,0,0,1,0,0,0,0,0,0
HERVH_3p24.1a,0,1,0,0,0,0,0,0,0,0,0
HERVH_3p24.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p24.2,1,0,0,0,0,0,0,0,0,0,0
HERVH_3p24.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p24.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p24.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p24.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p25.3,0,0,0,0,1,0,0,1,1,0,0
HERVH_3p26.1,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p26.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3p26.3b,1,0,0,0,0,0,0,0,0,0,1
HERVH_3q11.1,0,0,1,1,3,2,8,1,16,15,12
HERVH_3q11.2a,1,0,0,0,0,0,0,0,0,0,0
HERVH_3q11.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q11.2c,0,0,0,0,0,0,0,0,2,0,0
HERVH_3q13.11,0,0,0,0,0,0,2,1,0,0,0
HERVH_3q13.12a,0,0,0,0,0,0,0,0,0,0,2
HERVH_3q13.12b,49,40,1,0,4,3,11,22,0,0,0
HERVH_3q13.2,68,66,0,0,1099,130,433,166,1,0,1
HERVH_3q13.31a,0,2,0,0,0,0,1,0,1,0,1
HERVH_3q13.31b,0,0,0,2,0,0,0,0,109,64,145
HERVH_3q21.2a,0,2,0,0,14,1,8,9,0,0,0
HERVH_3q21.2b,14,10,0,0,7,9,0,14,0,1,2
HERVH_3q21.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q21.3b,43,53,0,0,61,43,34,57,0,1,0
HERVH_3q21.3c,25,28,0,0,66,39,59,59,2,1,4
HERVH_3q21.3d,19,0,0,0,2,1,14,31,0,0,2
HERVH_3q22.1a,1,1,0,0,2,0,0,0,0,0,0
HERVH_3q22.1b,0,0,0,0,1,1,0,0,0,0,0
HERVH_3q22.1c,1,1,0,0,4,0,0,0,0,0,0
HERVH_3q22.1d,0,1,0,0,0,0,0,0,0,0,0
HERVH_3q22.1e,0,5,0,0,12,16,3,16,0,0,0
HERVH_3q22.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q22.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q23a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q23b,1,0,3,0,0,0,0,0,0,1,0
HERVH_3q24a,5,0,0,0,1,4,1,1,0,0,0
HERVH_3q24b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q24c,0,0,0,0,1,0,0,1,0,0,0
HERVH_3q24d,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q24e,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q24f,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q24g,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q24h,0,0,0,0,1,0,0,0,0,0,0
HERVH_3q24i,0,0,0,0,1,0,0,0,0,0,0
HERVH_3q25.1,5,4,0,0,11,10,4,16,1,3,1
HERVH_3q25.2a,0,3,0,0,3,2,11,7,1,1,0
HERVH_3q25.2b,11,1,0,0,0,0,2,5,0,2,0
HERVH_3q25.2c,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q25.2d,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1a,0,1,0,0,0,0,0,0,0,0,0
HERVH_3q26.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1e,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1f,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1g,0,0,0,0,1,0,0,0,0,0,0
HERVH_3q26.1h,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.1i,9,0,0,0,3,1,1,5,20,5,8
HERVH_3q26.1j,0,0,0,0,2,1,0,2,3,2,3
HERVH_3q26.2a,0,0,0,0,0,0,0,0,0,1,0
HERVH_3q26.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.2c,0,0,0,0,0,0,0,0,1,0,0
HERVH_3q26.2d,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.31a,0,0,0,0,5,1,0,3,0,0,0
HERVH_3q26.31b,0,1,0,0,0,0,0,0,0,0,0
HERVH_3q26.31c,1,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.32a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.32b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.32c,0,0,0,0,0,1,0,0,1,0,0
HERVH_3q26.32d,0,0,0,0,0,1,2,1,0,0,0
HERVH_3q26.33a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q26.33b,0,0,0,0,1,0,0,0,0,0,0
HERVH_3q26.33c,3,0,0,0,0,0,0,0,0,0,0
HERVH_3q27.2,3,2,0,1,6,0,0,2,0,1,0
HERVH_3q27.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q27.3b,0,0,0,0,0,0,1,0,0,0,0
HERVH_3q27.3c,0,1,0,0,0,0,0,0,0,0,0
HERVH_3q28a,0,1,0,0,0,0,0,1,2,0,0
HERVH_3q28b,0,0,0,0,0,0,0,0,0,0,0
HERVH_3q28c,1,1,0,0,0,0,0,0,0,0,0
HERVH_3q28d,1,0,0,0,0,0,0,0,0,0,0
HERVH_3q28e,1,0,0,0,0,0,0,0,0,0,0
HERVH_3q29,0,0,0,0,0,0,0,1,0,0,0
HERVH_4p15.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4p15.1b,1,1,0,0,0,0,0,0,0,0,0
HERVH_4p15.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4p15.2a,0,0,0,0,2,0,2,1,0,0,0
HERVH_4p15.2b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4p15.2c,1,19,0,0,2,0,0,4,0,0,0
HERVH_4p15.31a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4p15.31b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4p15.32,0,1,0,0,0,0,0,2,0,0,0
HERVH_4p15.33a,0,4,0,0,0,4,0,0,0,0,0
HERVH_4p15.33b,0,0,0,0,0,0,0,1,0,0,0
HERVH_4p15.33c,0,0,0,0,0,1,0,0,0,0,0
HERVH_4p15.33d,7,0,0,0,6,11,2,7,0,0,0
HERVH_4p16.1a,87,75,0,0,201,179,123,187,67,66,55
HERVH_4p16.1b,3,5,0,0,0,1,0,0,0,0,0
HERVH_4p16.1c,2,0,1,0,1,0,0,0,0,0,0
HERVH_4p16.1d,8,2,0,0,9,3,3,8,1,0,1
HERVH_4p16.3a,0,1,0,0,0,1,0,1,0,0,1
HERVH_4p16.3b,0,1,0,0,1,3,0,1,3,0,0
HERVH_4p16.3c,0,4,0,0,1,8,4,5,0,0,0
HERVH_4p16.3d,0,2,0,0,0,0,0,0,0,1,0
HERVH_4q12a,89,88,1,0,223,141,158,151,7,11,4
HERVH_4q12b,0,2,0,0,0,0,0,0,0,0,0
HERVH_4q13.1,0,2,0,1,0,0,0,0,0,0,0
HERVH_4q13.2,2,8,0,0,2,6,4,1,5,1,3
HERVH_4q13.3,94,127,1,0,175,174,62,200,36,25,8
HERVH_4q21.21a,1,4,0,0,2,0,0,5,0,0,0
HERVH_4q21.21b,0,0,0,0,0,1,1,0,0,0,0
HERVH_4q21.3,0,1,0,0,0,0,0,0,0,0,0
HERVH_4q22.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1c,2,0,0,0,1,1,1,1,18,9,3
HERVH_4q22.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1e,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1f,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1g,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1h,0,0,0,0,1,0,0,0,1,3,1
HERVH_4q22.1i,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.1j,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.2,2,1,0,0,0,0,0,0,0,1,1
HERVH_4q22.3a,23,8,1,6,8,5,4,25,128,132,35
HERVH_4q22.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q22.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q24a,5,3,0,0,7,6,3,3,0,0,0
HERVH_4q24b,0,1,0,0,0,0,0,0,0,0,0
HERVH_4q24c,0,0,0,0,0,0,1,0,0,0,0
HERVH_4q25a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q25b,6,0,0,0,0,5,0,1,0,0,0
HERVH_4q26a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q26b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q26c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q27,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.1a,1,1,0,0,0,2,2,2,0,0,0
HERVH_4q28.1b,0,0,0,0,1,0,0,0,0,0,0
HERVH_4q28.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.1d,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.1e,0,0,0,0,0,0,0,0,1,0,0
HERVH_4q28.2,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3e,1,0,0,0,2,2,6,1,0,0,0
HERVH_4q28.3f,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3g,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3h,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3i,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q28.3j,0,0,0,0,0,1,0,0,0,0,0
HERVH_4q28.3k,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q31.1a,8,1,0,0,9,6,9,12,2,2,0
HERVH_4q31.1b,298,60,0,2,943,579,760,675,5,4,4
HERVH_4q31.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q31.21a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q31.21b,0,0,0,1,0,1,0,2,0,0,0
HERVH_4q31.21c,47,42,0,0,58,59,22,62,0,0,0
HERVH_4q31.3a,2,0,0,0,0,0,0,0,1,0,4
HERVH_4q31.3b,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q31.3c,0,0,0,0,1,0,0,0,0,0,0
HERVH_4q32.1a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q32.1b,0,0,0,0,0,0,0,0,0,0,2
HERVH_4q32.1c,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q32.1d,0,0,0,0,0,0,1,0,0,0,0
HERVH_4q32.2a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q32.2b,3,0,0,0,1,0,1,0,0,2,0
HERVH_4q32.2c,5,1,0,0,17,10,1,14,7,5,3
HERVH_4q32.3a,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q32.3b,0,1,0,0,0,0,0,0,0,0,0
HERVH_4q32.3c,3,0,0,0,1,0,0,1,0,0,0
HERVH_4q32.3d,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q32.3e,0,0,0,0,0,0,0,0,0,0,0
HERVH_4q33a,0,0,0,0,1,0,0,0,0,0,0
